20180422_001650 1
20180423_050042 1
20180423_153405 1
20180424_201833 1
20180426_141656 1
20180427_051720 1
20180427_174649 1
20180428_065004 0
20180429_050758 1
20180429_161425 1
20180430_044202 1
20180430_154925 0
20181201_060601 0
20181201_064216 0
20181201_100157 1
20181202_054201 0
20181202_061741 0
20181202_093756 0
20181202_101330 0
20181202_173007 0
20181202_180530 0
20181202_212602 0
20181202_220122 0
20181202_232402 0
20181202_235921 0
20181204_025606 0
20181204_033104 0
20181204_085003 0
20181204_092500 0
20181204_104801 0
20181204_112257 1
20181204_203806 0
20181204_211259 0
20181205_023205 0
20181205_030659 1
20181205_062804 0
20181205_070300 1
20181205_102400 0
20181205_105855 0
20181205_201405 0
20181205_204903 0
20181206_020759 0
20181206_024302 0
20181206_040600 0
20181206_044104 1
20181206_095956 0
20181206_103504 1
20181206_194957 0
20181206_202513 0
20181206_214754 0
20181206_222311 1
20181207_014349 0
20181207_021911 1
20181207_073747 0
20181207_081317 1
20181207_113340 0
20181207_120913 1
20181207_133140 0
20181207_140716 1
20181207_212339 0
20181207_215925 1
20181208_011930 0
20181208_015523 0
20181208_031730 0
20181208_035326 1
20181208_190119 0
20181208_193739 0
20181208_225712 1
20181208_233338 1
20181209_045105 0
20181209_052740 0
20181209_084658 0
20181209_092342 1
20181209_144046 0
20181209_151739 0
20181209_223241 1
20181209_230948 1
20181210_003032 0
20181210_010743 1
20181210_042627 0
20181210_050346 0
20181210_121813 0
20181210_125546 1
20181210_161406 0
20181210_165147 1
20181210_201005 0
20181210_204753 0
20181211_000555 0
20181211_004349 1
20181211_040146 0
20181211_043948 0
20181211_095535 0
20181211_103349 1
20181211_135123 0
20181211_142943 1
20181211_214313 0
20181211_222149 1
20181212_013900 0
20181212_021742 1
20181212_033654 0
20181212_041541 0
20181212_112839 0
20181212_120740 1
20181212_152428 1
20181212_160336 0
20181212_211821 1
20181212_215740 0
20181213_011407 0
20181213_015333 1
20181213_070753 1
20181213_074730 0
20181213_130136 0
20181213_134123 0
20181213_145930 0
20181213_153920 0
20181213_225116 0
20181213_233120 0
20181216_035442 0
20181216_043609 0
20181216_075033 1
20181216_083207 0
20181216_094827 1
20181216_103004 0
20181216_154206 0
20181216_162350 1
20181216_193755 1
20181216_201945 0
20181216_233348 0
20181217_001543 0
20181217_052722 1
20181217_060924 1
20181217_092315 1
20181217_100523 1
20181217_151653 1
20181217_155909 0
20181217_171445 1
20181217_175703 0
20181217_230832 0
20181218_054438 0
20181218_070002 1
20181218_105552 0
20181218_212806 0
20181218_224312 1
20181219_051945 0
20181219_131132 1
20181219_142618 1
20181219_182202 0
20181220_005905 1
20181220_045449 0
20181220_060920 1
20181220_124633 1
20181220_164221 1
20181220_175641 1
20181221_014819 1
20181221_054359 0
20181221_122130 0
20181221_133535 1
20181221_173118 1
20181222_012256 1
20181222_040445 1
20181222_080028 1
20181222_194754 1
20181223_033936 1
20181223_045314 0
20181223_084859 1
20181223_152659 1
20181223_164030 1
20181223_203615 0
